4092 3928 5701 
4784 2389 5594 
3997 5681 8182 
4659 7471 1636 
4114 8225 410 
5744 8424 1462 
4671 7185 7133 
5166 1915 8400 
6521 3166 2793 
4562 3115 7893 
4664 3219 405 
5716 5701 118 
6206 7989 3463 
3866 3499 6251 
4534 4007 5580 
4867 6333 1245 
4809 2521 1815 
3881 3989 6521 
6184 1441 2940 
4163 1628 4723 
5608 5793 3361 
5711 7204 65 
5034 4227 4497 
4475 8259 8497 
5556 8059 6507 
4510 640 3360 
4315 4040 4500 
8779 8544 8513 
4692 5340 6003 
4892 6287 7512 
6028 7536 6161 
4718 6248 3947 
5792 6911 3300 
5171 2686 2507 
4111 1780 416 
1824 1873 7089 
5771 6091 3428 
4575 8282 5102 
4934 7347 1773 
4217 4465 730 
5806 1153 6784 
4711 2050 2888 
4961 716 6878 
4078 2042 7657 
2912 8091 5509 
5054 400 7805 
6205 7851 2665 
5165 2216 7504 
5093 4382 303 
4268 4327 7305 
5946 3297 5574 
3880 5910 4261 
4488 537 3852 
3989 943 7228 
4915 6023 4500 
4033 7025 1355 
6086 3809 5320 
5437 4529 6767 
5707 7261 2129 
4556 5497 7382 
5996 6951 6943 
5574 7411 1986 
6257 5357 7503 
5306 5709 6032 
4656 2057 2030 
5518 4684 1141 
4630 1127 6382 
4584 5163 2789 
6006 6661 7673 
4389 5342 6114 
5305 1308 3942 
5470 6112 1213 
4938 1135 8396 
4652 3036 2142 
6009 8015 7599 
6108 4479 38 
4504 6472 8493 
4721 2932 7028 
4806 2993 2731 
3998 5943 8139 
3996 8129 7020 
5578 8036 3045 
5904 1647 5138 
4589 4880 161 
4034 3507 6293 
6258 7447 1162 
3487 5266 7214 
273 8651 8450 
4922 302 3267 
4878 4904 2108 
4040 5362 1264 
4725 82 5022 
5390 7488 6922 
4707 4332 2100 
6100 3893 5699 
4133 4108 4671 
5773 1004 917 
4595 8140 2479 
4302 4154 7927 
6214 7496 6257 
4118 6642 8894 
4289 6150 7375 
7767 1890 6134 
5669 7986 1511 
358 4535 846 
4203 7495 7652 
6839 3186 6033 
4127 4132 4042 
5175 6082 6601 
5397 3259 2837 
5104 1615 7943 
5667 5730 5696 
4889 3501 4996 
5978 7415 1870 
4211 7727 5989 
4951 4930 4974 
5401 245 4101 
5697 5251 6842 
4230 4860 7214 
4374 6798 3996 
6143 8459 4731 
5710 4513 2899 
4696 2550 562 
5120 5197 4294 
8813 6543 4606 
4836 3511 7368 
4351 8386 8026 
3074 4824 6045 
5024 3871 7293 
4644 3492 8054 
5156 4717 5994 
4408 3227 415 
4517 1675 5840 
4189 4165 228 
5108 6688 5900 
5207 7024 4551 
5209 6256 3196 
4799 4778 7804 
4150 430 3399 
6193 7884 5040 
4559 3032 1628 
4804 1203 5631 
5652 4865 4017 
4253 2138 3435 
6146 8977 7541 
5503 2243 4699 
4054 3914 1381 
4122 8944 765 
5317 571 5030 
3943 735 3614 
4965 4941 4754 
6083 6343 6739 
3973 5419 5412 
5062 1726 8154 
7639 1860 4126 
4716 7162 6623 
4105 5473 3027 
3931 4668 5129 
6200 4690 7825 
4924 4905 7892 
5226 4487 2850 
5119 3994 3701 
8443 7717 1108 
6255 1041 6265 
5553 7220 2943 
6097 5553 2116 
5070 4712 5079 
4322 4311 7328 
4843 3024 4865 
4340 5162 458 
4920 1740 3563 
5149 1724 4945 
3952 2949 1993 
5709 2319 7221 
5676 4454 7218 
6008 7240 2702 
4379 4383 8853 
4259 8576 6761 
4453 1645 947 
4555 1150 5103 
4772 4761 4753 
4102 119 4618 
6113 2171 2959 
5436 5776 1173 
4161 2747 1741 
3428 8512 8323 
1155 3428 3011 
5828 8081 5073 
5655 8468 5181 
5722 4223 6070 
4770 619 4720 
4791 1502 7668 
5356 7612 5004 
4962 3929 1876 
5619 2271 6829 
4337 5016 3855 
4688 163 6851 
4827 4212 6441 
5613 3629 3533 
7487 1503 4596 
4567 4391 4465 
4172 3160 4038 
4744 3940 4133 
5534 5178 8757 
4535 846 5453 
5761 4381 4110 
3114 6321 3087 
4968 8298 1490 
4810 1787 8136 
5603 6960 1356 
4428 5873 1755 
4433 1108 4033 
5042 6171 1164 
1401 7456 4898 
6192 1739 4186 
4976 7540 2531 
4669 8529 2494 
4937 5662 5438 
5554 6877 6039 
4021 3145 3160 
5012 5043 2172 
4898 4208 7220 
4185 4987 3639 
4901 1754 5659 
5316 1797 2909 
4056 6419 1750 
4583 7912 7160 
5986 8138 735 
5168 7398 7220 
6035 5040 3191 
4430 7220 4813 
5492 3407 5337 
4682 287 6280 
5317 6495 5441 
4969 4935 4885 
7631 1517 2389 
4658 4443 4135 
4959 4972 3338 
4950 4998 4990 
1059 4124 2013 
467 7653 764 
3371 1416 1278 
4099 6923 3041 
5052 3795 6992 
4844 7669 1073 
5297 5437 1212 
4197 724 7834 
4314 189 3608 
7069 377 4766 
4579 7748 5840 
4749 476 6805 
7095 4366 3378 
970 6976 8218 
4641 4032 5426 
3150 1995 5180 
4871 5509 7167 
4715 1441 8434 
4516 5247 6623 
5490 2770 6955 
6077 5102 1073 
5649 2609 2502 
5523 4709 5300 
5143 4654 6292 
4660 8098 1679 
717 1437 3855 
6087 7148 7688 
4420 3618 4167 
5505 2757 7028 
4853 7765 2575 
4769 8234 4780 
4053 7720 6373 
4258 3697 5548 
6260 8256 6519 
5751 3732 3372 
